input_text,output_text
"The echo showed a pericardial effusion.","The heart ultrasound showed fluid around the heart."
"The patient has rheumatoid arthritis.","The patient has an autoimmune form of arthritis that causes joint pain and swelling."
"The test confirmed hyperthyroidism.","The test confirmed an overactive thyroid gland."
"The patient was diagnosed with melanoma.","The patient was diagnosed with a serious type of skin cancer."
"The MRI showed a torn ACL.","The MRI showed a torn ligament in the knee."
"The patient has chronic sinusitis.","The patient has long-term inflammation of the sinus cavities."
"The blood test revealed anemia.","The blood test showed a low red blood cell count."
"The patient was treated for bronchitis.","The patient was treated for an inflammation of the breathing tubes."
"The scan showed metastatic disease to the liver.","The scan showed that cancer has spread to the liver."
"The patient has bipolar disorder.","The patient has a condition with extreme mood swings from high energy to deep depression."
"The examination confirmed a hernia.","The examination confirmed a bulge where an organ pushes through a muscle."
"The patient was diagnosed with pancreatitis.","The patient was diagnosed with an inflamed pancreas."
"The X-ray showed a comminuted fracture of the femur.","The X-ray showed a thigh bone broken into multiple pieces."
"The patient has asthma.","The patient has a condition where the airways narrow and make it hard to breathe."
"The lab work indicated renal failure.","The blood work indicated that the kidneys are not working properly."
"The patient was treated for a migraine.","The patient was treated for a severe, throbbing headache."
"The ultrasound confirmed ovarian cysts.","The ultrasound confirmed fluid-filled sacs on the ovaries."
"The patient has Parkinson's disease.","The patient has a disorder that affects movement, causing tremors and stiffness."
"The biopsy showed prostatic adenocarcinoma.","The tissue sample showed cancer of the prostate gland."
"The patient was diagnosed with shingles.","The patient was diagnosed with a painful, blistering rash caused by the chickenpox virus."
"The CT angiogram showed a dissection.","The special CT scan showed a tear in the lining of a blood vessel."
"The patient has a bunion.","The patient has a bony bump at the base of the big toe."
"The test was positive for C. difficile.","The stool test was positive for a bacteria that causes severe diarrhea."
"The patient was treated for a sprain.","The patient was treated for stretched or torn ligaments."
"The MRI confirmed a torn meniscus.","The MRI confirmed a tear in the knee's cushioning cartilage."
"The patient has eczema.","The patient has a skin condition that causes itchy, inflamed patches."
"The chest CT showed a nodule.","The chest CT scan showed a small growth in the lung."
"The patient was diagnosed with anemia.","The patient was diagnosed with a low red blood cell count."
"The scope showed esophageal varices.","The camera test showed swollen veins in the food pipe."
"The patient has a corneal abrasion.","The patient has a scratch on the surface of the eye."
"The blood test showed elevated liver enzymes.","The blood test showed signs of liver irritation or damage."
"The patient was diagnosed with COPD.","The patient was diagnosed with a chronic lung disease that blocks airflow."
"The X-ray revealed a pneumothorax.","The X-ray revealed a collapsed lung."
"The patient has a stress fracture.","The patient has a small hairline crack in a bone."
"The culture confirmed a fungal infection.","The lab test confirmed an infection caused by a fungus."
"The patient was treated for otitis media.","The patient was treated for a middle ear infection."
